id_camara,LPR,id_camara LPR,Tipo,latitud,longitud
344,,344,Comun,"-37,976319","-57,590468"
345,,345,Comun,"-37,950177","-57,5749993"
346,,346,Comun,"-37,946395","-57,5827558"
347,,347,Comun,"-37,949625","-57,5927127"
348,,348,Comun,"-38,032407","-57,5569641"
349,,349,Comun,"-38,033857","-57,5661656"
350,,350,Comun,"-38,035369","-57,5708407"
351,,351,Comun,"-38,032485","-57,5718832"
352,,352,Comun,"-38,027851","-57,5701584"
353,,353,Comun,"-38,030205","-57,569149"
354,,354,Comun,"-38,034611","-57,5634205"
355,,355,Comun,"-38,035771","-57,5593685"
356,,356,Comun,"-38,041573","-57,5516609"
357,,357,Comun,"-38,038971","-57,5534127"
358,,358,Comun,"-38,038801","-57,5449921"
360,,360,Comun,"-38,043799","-57,5641515"
361,,361,Comun,"-38,044342","-57,5582796"
362,,362,Comun,"-38,073325","-57,5468741"
364,,364,Comun,"-38,105089","-57,5698726"
365,,365,Comun,"-38,025547","-57,562426"
366,,366,Comun,"-38,028354","-57,5586371"
367,LPR 1 (OESTE),367 LPR 1 (OESTE),LPR,"-38,031497","-57,5545189"
367,LPR 2 (ESTE),367 LPR 2 (ESTE),LPR ,"-38,031497","-57,5545189"
367,,367,Comun,"-38,031497","-57,5545189"
367,,367,Comun,"-38,031497","-57,5545189"
368,,368,Comun,"-38,034314","-57,5469551"
369,,369,Comun,"-38,036407","-57,5429809"
370,,370,Comun,"-37,947907","-57,5618965"
371,,371,Comun,"-38,03151","-57,5389864"
372,,372,Comun,"-38,02957","-57,5431159"
373,,373,Comun,"-38,031449","-57,5460357"
374,,374,Comun,"-38,032687","-57,5413887"
375,,375,Comun,"-38,0275","-57,5470665"
376,,376,Comun,"-38,022444","-57,5570445"
377,,377,Comun,"-38,026894","-57,5550153"
378,,378,Comun,"-38,027799","-57,5374419"
379,,379,Comun,"-38,021462","-57,5323329"
380,,380,Comun,"-38,012703","-57,5364973"
381,LPR 1 Paseo Jesus Galindez (ESTE),381 LPR 1 Paseo Jesus Galindez (ESTE),LPR,"-38,01931","-57,5255168"
381,,381,Comun,"-38,01931","-57,5255168"
381,,381,Comun,"-38,01931","-57,5255168"
382,,382,Comun,"-38,042903","-57,5464388"
383,,383,Comun,"-38,022817","-57,5517167"
384,,384,Comun,"-38,027871","-57,5417264"
385,,385,Comun,"-38,050256","-57,5850089"
386,,386,Comun,"-38,028269","-57,6038892"
387,,387,Comun,"-38,050205","-57,5816754"
388,,388,Comun,"-38,029713","-57,5639785"
389,,389,Comun,"-38,023073","-57,5761876"
390,,390,Comun,"-38,02715","-57,5810893"
392,,392,Comun,"-38,044889","-57,5970282"
393,,393,Comun,"-38,004872","-57,5740178"
394,,394,Comun,"-38,111258","-57,6218542"
395,,395,Comun,"-37,955476","-57,654964"
396,,396,Comun,"-37,981067","-57,6100177"
397,,397,Comun,"-37,994769","-57,5871357"
398,,398,Comun,"-37,998732","-57,5861177"
399,,399,Comun,"-38,001901","-57,5886906"
401,,401,Comun,"-38,018654","-57,6063838"
402,,402,Comun,"-38,018791","-57,6164343"
403,,403,Comun,"-38,021308","-57,6096796"
404,,404,Comun,"-38,023376","-57,6069329"
405,LPR,405 LPR,LPR,"-38,015127","-57,596984"
405,,405,Comun,"-38,015127","-57,596984"
405,,405,Comun,"-38,015127","-57,596984"
406,,406,Comun,"-38,011097","-57,592101"
407,,407,Comun,"-38,017719","-57,5574387"
408,,408,Comun,"-38,015697","-57,5614269"
409,,409,Comun,"-38,019913","-57,5620124"
410,,410,Comun,"-38,020955","-57,560052"
413,,413,Comun,"-37,978019","-57,6005163"
412,,412,Comun,"-37,986349","-57,6143485"
411,,411,Comun,"-38,017925","-57,5660407"
414,,414,Comun,"-37,97244","-57,6114725"
415,,415,Comun,"-38,026082","-57,6102046"
416,,416,Comun,"-38,028853","-57,5996724"
417,,417,Comun,"-38,03136","-57,5963607"
418,,418,Comun,"-38,028923","-57,5510208"
419,,419,Comun,"-38,007212","-57,551756"
420,,420,Comun,"-38,003225","-57,5684679"
421,,421,Comun,"-38,005884","-57,5720202"
422,,422,Comun,"-38,008048","-57,576591"
423,,423,Comun,"-38,002839","-57,5780032"
424,,424,Comun,"-38,018811","-57,544255"
425,,425,Comun,"-38,014816","-57,5721925"
426,,426,Comun,"-37,976797","-57,5712096"
427,,427,Comun,"-37,994494","-57,6088911"
428,,428,Comun,"-38,024273","-57,6023339"
429,,429,Comun,"-37,997762","-57,601142"
430,,430,Comun,"-37,994251","-57,5993465"
431,,431,Comun,"-37,983578","-57,5624579"
432,,432,Comun,"-37,970828","-57,5874362"
433,,433,Comun,"-37,966739","-57,5956095"
434,,434,Comun,"-38,001464","-57,542916"
435,,435,Comun,"-37,999956","-57,5459363"
